time [d],date,hour,day_angle, rain [mm/d], snow [mm/d], temp [C], temp_daily_min [C], temp_daily_max [C],temp_daily_ave [C],temp_monthly_min [C],temp_monthly_max [C], air dens. [kg/m3], air pres. [KPa], rel hum. [-], cloud cover [-], ET radiation [MJ/m2/d], SW radiation [MJ/m2/d], net SW radiation [MJ/m2/d], LW radiation [MJ/m2/d], wind vel. [m/s], PET [mm/d], OW PET [mm/d], daily correction [-], potential melt [mm/d]
0,2000-01-01,00:00:00.00,0.00858359,0.0530597,0.00309434,7.26482,-0.899816,15.4295,7.26482,-33333.3,-33333.3,1.22752,99.1936,0.5,0,11.9855,8.6733,6.07131,-6.86829,2,0.609101,1.1164,1,126.766
1,2000-01-02,00:00:00.00,0.00858359,0.0530597,0.00309434,7.26482,-0.899816,15.4295,7.26482,-33333.3,-33333.3,1.22752,99.1936,0.5,0,11.9855,8.6733,6.07131,-6.86829,2,0.609101,1.1164,1,126.766
2,2000-01-03,00:00:00.00,0.0257508,3.80124,0,8.53374,2.21471,14.8528,8.53374,-33333.3,-33333.3,1.22168,99.203,0.5,0,12.0407,8.67724,6.07407,-6.71602,2,0.675024,1.03662,1,148.908
3,2000-01-04,00:00:00.00,0.0429179,12.0067,0.94292,7.36562,-1.25548,15.9867,7.36562,-33333.3,-33333.3,1.22706,99.1944,0.5,0,12.1003,8.76012,6.13208,-6.8565,2,0.619648,1.16283,1,128.525
4,2000-01-05,00:00:00.00,0.0600851,0.0736968,0.534671,-3.03393,-7.03794,0.97008,-3.03393,-33333.3,-33333.3,1.27596,99.114,0.5,0,12.1645,9.0602,6.34214,-7.88173,2,0.0990166,0.46745,1,-52.94
5,2000-01-06,00:00:00.00,0.0772523,0,0,-1.04281,-6.07045,3.98482,-1.04281,-33333.3,-33333.3,1.26641,99.1299,0.5,0,12.2331,9.07638,6.35347,-7.69141,2,0.200367,0.597788,1,-18.1963
6,2000-01-07,00:00:00.00,0.0944195,0.116395,0.118176,-0.027187,-3.60929,3.55492,-0.027187,-33333.3,-33333.3,1.26157,99.1379,0.5,0,12.3061,9.1133,6.37931,-7.58549,2,0.253232,0.538363,1,-0.474394
7,2000-01-08,00:00:00.00,0.111587,0,0,0.056829,-5.59673,5.71039,0.056829,-33333.3,-33333.3,1.26117,99.1386,0.5,0,12.3836,9.17325,6.42128,-7.57798,2,0.259069,0.68382,1,0.991626
8,2000-01-09,00:00:00.00,0.128754,1.89163,0,2.8349,1.00291,4.66688,2.8349,-33333.3,-33333.3,1.2481,99.1601,0.5,0,12.4655,9.1733,6.42131,-7.3347,2,0.403955,0.452797,1,49.467
9,2000-01-10,00:00:00.00,0.145921,4.02742,0.453917,3.4598,-0.87895,7.79856,3.4598,-33333.3,-33333.3,1.24518,99.1649,0.5,0,12.5519,9.22578,6.45805,-7.27487,2,0.439096,0.722903,1,60.3711
10,2000-01-11,00:00:00.00,0.163088,2.09898,0,4.47025,1.2146,7.72591,4.47025,-33333.3,-33333.3,1.24047,99.1726,0.5,0,12.6427,9.2706,6.48942,-7.17405,2,0.494989,0.660712,1,78.0027
11,2000-01-12,00:00:00.00,0.180255,0,0,0.885687,-1.01224,2.78361,0.885687,-33333.3,-33333.3,1.25725,99.145,0.5,0,12.7378,9.437,6.6059,-7.50922,2,0.309882,0.426454,1,15.4546
