time [d],date,hour,rainfall [mm/day],snowfall [mm/d SWE],Channel Storage [mm],Reservoir Storage [mm],Rivulet Storage [mm],Surface Water [mm],Cum. Losses to Atmosphere [mm],Ponded Water [mm],Soil Water[0] [mm],Soil Water[1] [mm],Soil Water[2] [mm],Soil Water[3] [mm],Snow [mm],Convolution Storage[0] [mm],Convolution Storage[1] [mm], Total [mm], Cum. Inputs [mm], Cum. Outflow [mm], MB Error [mm]
0,2000-01-01,00:00:00.00,---,---,0,0,0,0,0,0,205.534,13.78,0,0,0,0,0,219.314,0,0,0
1,2000-01-02,00:00:00.00,0.0530597,0.00309434,0,0,0.00318963,0,0.609099,0,203.046,13.8895,0,-0.000520997,0.00278483,1.62911,0.187084,219.367,0.056154,0.00318963,-3.65888e-14
2,2000-01-03,00:00:00.00,3.80124,0,0,0,0.0214718,0,1.64572,0,201.265,14.656,0,-0.00114976,0.00250629,4.95432,0.599121,223.143,3.85739,0.0278511,-1.33227e-15
3,2000-01-04,00:00:00.00,12.0067,0.94292,0,0,0.083143,0,2.80854,0,199.908,17.636,0,-0.00235154,0.84436,13.0465,1.66379,235.988,16.807,0.132466,-3.19744e-14
4,2000-01-05,00:00:00.00,0.0736968,0.534671,0,0,0.19587,0,2.90754,0,198.176,23.5647,0,-0.00566551,1.37903,8.65508,1.44505,236.317,17.4154,0.411479,-3.19744e-14
5,2000-01-06,00:00:00.00,0,0,0,0,0.298414,0,3.10765,0,196.347,31.1034,0,-0.0144212,1.37903,2.58367,1.01807,235.823,17.4154,0.905764,2.13163e-14
6,2000-01-07,00:00:00.00,0.116395,0.118176,0,0,0.281194,0,3.3606,0,194.653,32.8022,0,-0.0249684,1.49721,2.28908,0.620196,235.478,17.6499,1.48537,-2.13163e-14
7,2000-01-08,00:00:00.00,0,0,0,0,0.17417,0,3.61893,0,192.906,34.2446,0,-0.0372306,1.49721,2.18815,0.431078,235.023,17.6499,1.94074,-7.4607e-14
8,2000-01-09,00:00:00.00,1.89163,0,0,0,0.106635,0,4.07172,0,191.637,35.6968,0,-0.0514119,1.49721,3.17503,0.500925,236.634,19.5416,2.22154,-4.9738e-14
9,2000-01-10,00:00:00.00,4.02742,0.453917,0,0,0.0982185,0,4.79463,0,190.687,37.5299,0,-0.0683109,1.72822,5.37333,0.767393,240.91,24.0229,2.4264,-1.42109e-14
10,2000-01-11,00:00:00.00,2.09898,0,0,0,0.128475,0,5.45534,0,189.551,40.4162,0,-0.0902159,1.5336,4.98024,0.808008,242.782,26.1219,2.65309,-4.61853e-14
11,2000-01-12,00:00:00.00,0,0,0,0,0.16439,0,5.76437,0,188.103,43.7846,0,-0.119211,1.36307,2.79049,0.639219,242.49,26.1219,2.94595,-8.52651e-14
12,2000-01-13,00:00:00.00,0,8.00024,0,0,0.167744,0,5.76437,0,186.837,45.8364,0,-0.153251,9.36332,1.87657,0.465579,250.158,34.1221,3.27809,-5.68434e-14
13,2000-01-14,00:00:00.00,0,3.41527,0,0,0.134914,0,5.76437,0,185.613,47.0227,0,-0.190481,12.7786,1.7899,0.357537,253.27,37.5374,3.58074,-7.81597e-14
14,2000-01-15,00:00:00.00,0,0,0,0,0.102556,0,5.76437,0,184.428,48.1439,0,-0.230915,12.7786,1.7321,0.314505,253.033,37.5374,3.81821,-9.23706e-14
15,2000-01-16,00:00:00.00,0.0488333,0.121877,0,0,0.0888396,0,5.83896,0,183.255,49.2275,0,-0.274631,12.9005,1.67691,0.29953,253.012,37.7081,4.00961,-9.9476e-14
16,2000-01-17,00:00:00.00,0,0.989827,0,0,0.0866023,0,5.83896,0,182.142,50.2753,0,-0.321696,13.8903,1.62498,0.290123,253.826,38.6979,4.18505,-7.81597e-14
17,2000-01-18,00:00:00.00,0,0.388864,0,0,0.0870596,0,5.83896,0,181.062,51.2888,0,-0.372173,14.2792,1.5763,0.28126,254.042,39.0868,4.35871,-5.68434e-14
18,2000-01-19,00:00:00.00,0,0.607175,0,0,0.08771,0,5.83896,0,180.014,52.2701,0,-0.426119,14.8863,1.53019,0.272895,254.474,39.694,4.53348,-5.68434e-14
19,2000-01-20,00:00:00.00,0,5.47332,0,0,0.0885473,0,5.83896,0,178.995,53.2208,0,-0.483586,20.3596,1.48646,0.26498,259.771,45.1673,4.70974,-4.26326e-14
20,2000-01-21,00:00:00.00,0,4.62339,0,0,0.0895579,0,5.83896,0,178.005,54.1423,0,-0.54462,24.983,1.44492,0.257471,264.216,49.7907,4.88785,-1.13687e-13
21,2000-01-22,00:00:00.00,0,0.057493,0,0,0.0907278,0,5.83896,0,177.041,55.0358,0,-0.609261,25.0405,1.40543,0.250337,264.094,49.8482,5.06813,-1.13687e-13
22,2000-01-23,00:00:00.00,0,0,0,0,0.0920455,0,5.83896,0,176.103,55.9025,0,-0.677547,25.0405,1.36784,0.243552,263.911,49.8482,5.25091,7.10543e-15
23,2000-01-24,00:00:00.00,0,0.32191,0,0,0.0935017,0,5.83896,0,175.189,56.7436,0,-0.749507,25.3624,1.33202,0.23709,264.047,50.1701,5.43645,-5.68434e-14
24,2000-01-25,00:00:00.00,0,0.39982,0,0,0.0950873,0,5.83896,0,174.299,57.56,0,-0.825167,25.7623,1.29786,0.230931,264.258,50.5699,5.62504,-7.10543e-14
